Metric,Mean,Std,95% CI
AUROC (MC Dropout),0.4223723570633082,0.0057565430398880246,0.006041121428653664
AUROC (No Dropout),0.42227969331159004,0.00606933932615346,0.006369380999487718
p-value (paired t-test),0.5889724100860083,,
Cohen's d,0.235540461359981,,
